X,Y,Z
6.3432,7.2837,-0.041
2.3728,0.8326,-0.0409
2.1823,4.7824,-0.0407
2.3648,4.681,-0.04
6.3334,3.4438,-0.0398
2.1848,0.9342,-0.039
2.1915,-6.7756,-0.039
2.189,8.6271,-0.0389
6.5254,7.1862,-0.0383
2.1851,-2.9186,-0.0378
2.3657,8.5291,-0.0375
6.5247,3.3441,-0.0374
1.6725,4.3383,-0.0371
2.3745,-6.8669,-0.0371
2.3756,-3.0176,-0.0368
2.4488,4.3873,-0.0365
3.2047,3.0844,-0.0365
2.4466,8.2335,-0.0362
1.6787,8.192,-0.0361
3.207,6.9268,-0.0361
1.6706,0.4959,-0.0358
6.3292,11.137,-0.0357
3.2091,-0.766,-0.0356
5.8303,6.8554,-0.0356
1.6798,-3.3586,-0.0353
1.4722,0.4971,-0.0352
6.3334,-0.4027,-0.0348
1.4763,4.3442,-0.0346
6.521,-0.5078,-0.0346
1.4769,8.1947,-0.0345
5.6246,6.8562,-0.0345
5.8313,3.0039,-0.0344
2.4492,0.5376,-0.0343
2.4441,-7.1587,-0.0343
3.3738,6.8067,-0.034
3.3762,2.9602,-0.0339
1.4761,-3.347,-0.0339
5.6252,3.011,-0.0338
6.5206,11.0406,-0.0337
3.202,10.7853,-0.0336
2.1888,-10.6176,-0.0336
5.8279,10.6976,-0.0334
1.6782,-7.2064,-0.0333
3.1797,0.7946,-0.0331
2.8489,0.5353,-0.0331
3.2051,-8.466,-0.0331
-1.9581,-0.4089,-0.033
2.854,4.3851,-0.033
6.5944,6.893,-0.033
2.854,8.2338,-0.0328
-0.9508,5.5833,-0.0327
3.1835,4.6506,-0.0327
2.373,-10.7156,-0.0327
5.8254,-0.8524,-0.0327
2.4446,-3.3136,-0.0326
6.5943,3.0456,-0.0326
3.2084,-4.6187,-0.0325
6.5236,-4.3584,-0.0325
1.4828,-7.1995,-0.0324
-1.96,3.439,-0.0323
7.345,9.4335,-0.0323
5.0619,7.2793,-0.0322
2.378,12.3725,-0.0321
-1.7789,7.1997,-0.032
-1.9605,-4.257,-0.032
0.9081,0.9268,-0.032
-1.7753,-4.3586,-0.0318
5.6271,10.7049,-0.0318
2.8561,-7.1609,-0.0317
-1.7734,-0.5084,-0.0316
3.938,-2.4661,-0.0316
3.3723,-0.8883,-0.0316
-1.9633,7.2886,-0.0315
-1.9557,-8.1078,-0.0315
3.9363,5.2258,-0.0315
5.064,3.4309,-0.0315
-0.94,9.4389,-0.0314
3.1858,8.4989,-0.0314
4.298,5.0714,-0.0314
-0.938,-9.8156,-0.0312
0.9118,4.7702,-0.0311
-2.469,-0.8448,-0.031
-1.7701,-8.2093,-0.031
3.9491,4.8684,-0.031
2.3788,-14.5693,-0.031
3.3779,-4.7405,-0.0309
-1.9561,-11.9665,-0.0308
2.1837,12.4779,-0.0308
1.6839,-11.0515,-0.0308
0.9169,-6.7742,-0.0307
2.853,-3.3131,-0.0307
7.3574,5.5877,-0.0307
-0.9493,1.7353,-0.0306
6.3255,-4.2489,-0.0305
3.3744,-8.5862,-0.0304
3.9394,1.3791,-0.0303
5.058,11.1274,-0.0303
4.2908,4.787,-0.0303
-0.9439,-5.9599,-0.0302
4.2931,8.9241,-0.0302
7.355,1.7408,-0.0301
-1.7762,3.3453,-0.03
-0.7732,5.4685,-0.03
-1.7019,-0.8053,-0.03
4.29,8.6354,-0.03
4.8545,3.4428,-0.03
4.2958,1.2232,-0.03
0.7013,0.9274,-0.0299
1.476,-11.0488,-0.0299
-0.7659,-9.9317,-0.0298
-1.7042,6.8933,-0.0297
-2.4721,6.8473,-0.0297
-0.9415,-2.1094,-0.0297
0.9172,-2.9267,-0.0297
3.3739,10.6557,-0.0296
3.9513,1.0236,-0.0296
2.4452,-11.0101,-0.0296
5.6261,-0.8381,-0.0295
6.3306,-8.0988,-0.0295
-2.4686,-8.5412,-0.0294
0.7037,-2.9224,-0.0294
4.3005,5.664,-0.0294
-2.469,3.0012,-0.0293
-2.4765,-4.6974,-0.0293
0.9132,8.621,-0.0293
4.0248,5.9836,-0.0293
3.4766,0.8455,-0.0293
6.598,10.7405,-0.0293
3.9469,8.7156,-0.0292
3.1819,-6.8962,-0.0292
