x,y,z
33.1349,29.7185,-0.069
33.1367,31.2978,-0.0615
36.5497,31.2944,-0.06
34.8385,29.8069,-0.0595
31.4293,28.2277,-0.059
31.4251,29.8099,-0.0587
36.5423,29.7206,-0.0585
34.8369,28.2226,-0.0582
33.1335,28.1365,-0.0582
38.2497,28.2259,-0.058
29.7206,31.2955,-0.0575
38.2516,29.8072,-0.0574
31.428,26.6469,-0.0569
36.5489,28.1397,-0.0569
38.2514,26.6474,-0.0564
33.134,24.9801,-0.0562
29.7241,29.7192,-0.0561
33.1355,26.5613,-0.056
36.5489,26.5552,-0.056
31.4308,25.0651,-0.0558
36.5484,24.98,-0.0558
34.8366,25.0676,-0.0556
38.251,25.0668,-0.0556
29.7222,28.1388,-0.0552
38.2522,21.9057,-0.0552
34.8399,26.6463,-0.055
33.1368,23.3961,-0.0549
26.3112,31.2993,-0.0548
38.2516,23.4888,-0.0548
28.0138,29.8028,-0.0547
36.5495,23.395,-0.0547
36.5469,21.8177,-0.0547
31.4276,23.4869,-0.0544
28.016,28.2269,-0.0536
34.8436,23.4837,-0.0536
34.8409,21.9072,-0.0536
33.1324,21.8144,-0.0536
29.7212,26.5583,-0.0535
29.7239,23.3968,-0.053
26.3107,29.7199,-0.0529
31.4279,21.9045,-0.0529
29.7209,21.819,-0.0529
34.8395,20.3272,-0.0529
29.7228,24.9788,-0.0527
26.3085,28.1368,-0.0526
38.2523,20.3224,-0.0522
28.0173,26.6449,-0.052
31.4258,20.3247,-0.052
33.1365,20.2375,-0.0518
38.2536,18.7439,-0.0518
7.5411,28.2261,-0.0515
36.5491,20.2371,-0.0515
34.8422,18.7468,-0.0515
24.6055,29.8043,-0.0513
28.0135,23.4833,-0.0513
28.0164,25.0643,-0.0512
22.8984,31.2986,-0.0508
29.7234,20.2397,-0.0507
26.3104,24.9776,-0.0506
24.6027,28.2281,-0.0504
22.898,29.7193,-0.0502
26.3089,23.3972,-0.0502
26.3119,26.5614,-0.0501
28.0165,21.9054,-0.0501
28.0199,20.3233,-0.0499
36.5493,18.6562,-0.0499
33.1378,18.6554,-0.0497
26.3082,21.8174,-0.0496
21.1883,29.8106,-0.0495
31.4286,18.7418,-0.0495
38.2517,17.1658,-0.0493
34.843,17.1604,-0.049
22.897,28.1416,-0.0488
24.6079,26.6481,-0.0488
19.4818,31.2991,-0.0487
29.7221,18.6577,-0.0486
24.6014,25.0638,-0.0485
28.0174,18.7437,-0.0484
33.1374,17.0799,-0.0484
24.6035,23.483,-0.0483
21.1884,28.2256,-0.0481
21.1918,26.6465,-0.048
24.6047,20.3219,-0.048
22.8945,26.5591,-0.0479
22.8995,24.9815,-0.0479
24.6007,21.906,-0.0479
22.8969,23.3969,-0.0478
36.5489,17.0738,-0.0478
-14.6331,31.2965,-0.0477
38.2533,15.5848,-0.0477
21.1916,25.0607,-0.0473
26.3111,20.2375,-0.0473
28.017,17.1617,-0.047
31.4303,17.1638,-0.0469
34.8433,15.5805,-0.0469
-11.2274,31.2999,-0.0467
33.1364,15.4994,-0.0467
34.8413,14.0067,-0.0467
-14.6405,29.7217,-0.0466
21.1918,21.9041,-0.0465
22.8987,20.239,-0.0465
29.7212,17.0773,-0.0465
38.2511,14.0055,-0.0464
22.8981,21.8171,-0.0463
-18.0533,31.2988,-0.0462
19.4854,29.7179,-0.0457
21.1904,23.4844,-0.0456
36.5432,15.5003,-0.0456
33.1351,-1.8843,-0.0456
-19.7572,29.8043,-0.0455
26.3121,18.6595,-0.0455
-16.3488,29.8067,-0.0454
-7.8142,31.3001,-0.0454
19.4807,28.1374,-0.0454
24.603,18.7435,-0.0451
36.5495,13.9227,-0.045
31.429,15.5826,-0.0449
-12.9317,29.8035,-0.0448
-6.1073,29.8054,-0.0448
19.4842,23.3992,-0.0448
21.1904,20.3254,-0.0448
-9.5191,29.8064,-0.0447
17.7804,29.8043,-0.0447
